Postleitzahl,year,bundesland,group,treated,operator_type,anzahl_anlagen,netto_kw,brutto_kw,flaeche_km2,post2023,post2024,post_t1,post_t2,treat_x_t1,treat_x_t2,outcome,treat_x_2015,treat_x_2016,treat_x_2017,treat_x_2018,treat_x_2019,treat_x_2021,treat_x_2022
21217,2020,Niedersachsen,NI_grenze,0,privat,9.0,64.16,67.43,34.204145,0,0,0,0,0,0,9.0,0,0,0,0,0,0,0
21217,2021,Niedersachsen,NI_grenze,0,privat,23.0,155.1,176.57,34.204145,0,0,1,0,0,0,23.0,0,0,0,0,0,0,0
21217,2022,Niedersachsen,NI_grenze,0,privat,34.0,294.78,333.0,34.204145,0,0,1,1,0,0,34.0,0,0,0,0,0,0,0
21218,2015,Niedersachsen,NI_grenze,0,privat,1.0,4.5,5.1,29.568672,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0
21218,2016,Niedersachsen,NI_grenze,0,privat,1.0,29.835,29.835,29.568672,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0
21218,2017,Niedersachsen,NI_grenze,0,privat,3.0,14.34,18.355,29.568672,0,0,0,0,0,0,3.0,0,0,0,0,0,0,0
21218,2018,Niedersachsen,NI_grenze,0,privat,7.0,42.06,42.79,29.568672,0,0,0,0,0,0,7.0,0,0,0,0,0,0,0
21218,2019,Niedersachsen,NI_grenze,0,privat,5.0,42.18000000000001,43.0,29.568672,0,0,0,0,0,0,5.0,0,0,0,0,0,0,0
21218,2020,Niedersachsen,NI_grenze,0,privat,19.0,164.72,194.33,29.568672,0,0,0,0,0,0,19.0,0,0,0,0,0,0,0
21218,2021,Niedersachsen,NI_grenze,0,privat,16.0,145.95999999999998,183.385,29.568672,0,0,1,0,0,0,16.0,0,0,0,0,0,0,0
21218,2022,Niedersachsen,NI_grenze,0,privat,33.0,273.011,301.89,29.568672,0,0,1,1,0,0,33.0,0,0,0,0,0,0,0
21224,2015,Niedersachsen,NI_grenze,0,privat,3.0,24.5,30.0,63.734589,0,0,0,0,0,0,3.0,0,0,0,0,0,0,0
21224,2016,Niedersachsen,NI_grenze,0,privat,6.0,35.29,36.73,63.734589,0,0,0,0,0,0,6.0,0,0,0,0,0,0,0
21224,2017,Niedersachsen,NI_grenze,0,privat,10.0,52.92,58.91,63.734589,0,0,0,0,0,0,10.0,0,0,0,0,0,0,0
21224,2018,Niedersachsen,NI_grenze,0,privat,7.0,35.66,37.4,63.734589,0,0,0,0,0,0,7.0,0,0,0,0,0,0,0
21224,2019,Niedersachsen,NI_grenze,0,privat,12.0,89.191,97.181,63.734589,0,0,0,0,0,0,12.0,0,0,0,0,0,0,0
21224,2020,Niedersachsen,NI_grenze,0,privat,28.0,242.105,271.925,63.734589,0,0,0,0,0,0,28.0,0,0,0,0,0,0,0
21224,2021,Niedersachsen,NI_grenze,0,privat,41.0,337.09000000000003,374.415,63.734589,0,0,1,0,0,0,41.0,0,0,0,0,0,0,0
21224,2022,Niedersachsen,NI_grenze,0,privat,47.0,349.665,390.18,63.734589,0,0,1,1,0,0,47.0,0,0,0,0,0,0,0
21423,2015,Niedersachsen,NI_grenze,0,privat,13.0,81.95,86.075,140.348967,0,0,0,0,0,0,13.0,0,0,0,0,0,0,0
21423,2016,Niedersachsen,NI_grenze,0,privat,23.0,182.07,185.38,140.348967,0,0,0,0,0,0,23.0,0,0,0,0,0,0,0
21423,2017,Niedersachsen,NI_grenze,0,privat,20.0,88.815,92.545,140.348967,0,0,0,0,0,0,20.0,0,0,0,0,0,0,0
21423,2018,Niedersachsen,NI_grenze,0,privat,11.0,69.425,73.305,140.348967,0,0,0,0,0,0,11.0,0,0,0,0,0,0,0
21423,2019,Niedersachsen,NI_grenze,0,privat,43.0,563.123,596.955,140.348967,0,0,0,0,0,0,43.0,0,0,0,0,0,0,0
21423,2020,Niedersachsen,NI_grenze,0,privat,71.0,521.935,562.015,140.348967,0,0,0,0,0,0,71.0,0,0,0,0,0,0,0
21423,2021,Niedersachsen,NI_grenze,0,privat,108.0,902.692,975.94,140.348967,0,0,1,0,0,0,108.0,0,0,0,0,0,0,0
21423,2022,Niedersachsen,NI_grenze,0,privat,97.0,680.1850000000001,768.07,140.348967,0,0,1,1,0,0,97.0,0,0,0,0,0,0,0
21435,2015,Niedersachsen,NI_grenze,0,privat,7.0,41.955,45.73,38.661664,0,0,0,0,0,0,7.0,0,0,0,0,0,0,0
21435,2016,Niedersachsen,NI_grenze,0,privat,1.0,2.01,2.01,38.661664,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0
21435,2017,Niedersachsen,NI_grenze,0,privat,4.0,37.2,42.09,38.661664,0,0,0,0,0,0,4.0,0,0,0,0,0,0,0
21435,2018,Niedersachsen,NI_grenze,0,privat,4.0,22.58,25.85,38.661664,0,0,0,0,0,0,4.0,0,0,0,0,0,0,0
21435,2019,Niedersachsen,NI_grenze,0,privat,6.0,31.92,34.835,38.661664,0,0,0,0,0,0,6.0,0,0,0,0,0,0,0
21435,2020,Niedersachsen,NI_grenze,0,privat,9.0,72.75999999999999,76.72,38.661664,0,0,0,0,0,0,9.0,0,0,0,0,0,0,0
21435,2021,Niedersachsen,NI_grenze,0,privat,30.0,231.28,240.61,38.661664,0,0,1,0,0,0,30.0,0,0,0,0,0,0,0
21435,2022,Niedersachsen,NI_grenze,0,privat,45.0,378.145,417.35,38.661664,0,0,1,1,0,0,45.0,0,0,0,0,0,0,0
21465,2015,Schleswig-Holstein,SH_grenze,0,privat,8.0,34.69,41.3,38.139721,0,0,0,0,0,0,8.0,0,0,0,0,0,0,0
21465,2016,Schleswig-Holstein,SH_grenze,0,privat,15.0,55.69,59.025,38.139721,0,0,0,0,0,0,15.0,0,0,0,0,0,0,0
21465,2017,Schleswig-Holstein,SH_grenze,0,privat,14.0,66.24,70.57,38.139721,0,0,0,0,0,0,14.0,0,0,0,0,0,0,0
21465,2018,Schleswig-Holstein,SH_grenze,0,privat,19.0,301.49,344.02,38.139721,0,0,0,0,0,0,19.0,0,0,0,0,0,0,0
21465,2019,Schleswig-Holstein,SH_grenze,0,privat,25.0,171.895,183.925,38.139721,0,0,0,0,0,0,25.0,0,0,0,0,0,0,0
21465,2020,Schleswig-Holstein,SH_grenze,0,privat,48.0,338.57,382.765,38.139721,0,0,0,0,0,0,48.0,0,0,0,0,0,0,0
21465,2021,Schleswig-Holstein,SH_grenze,0,privat,68.0,512.285,572.64,38.139721,0,0,1,0,0,0,68.0,0,0,0,0,0,0,0
21465,2022,Schleswig-Holstein,SH_grenze,0,privat,78.0,781.075,872.77,38.139721,0,0,1,1,0,0,78.0,0,0,0,0,0,0,0
21502,2015,Schleswig-Holstein,SH_grenze,0,privat,5.0,28.31,31.72,51.054466,0,0,0,0,0,0,5.0,0,0,0,0,0,0,0
21502,2016,Schleswig-Holstein,SH_grenze,0,privat,2.0,7.0,7.96,51.054466,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0
21502,2017,Schleswig-Holstein,SH_grenze,0,privat,9.0,46.545,49.065,51.054466,0,0,0,0,0,0,9.0,0,0,0,0,0,0,0
21502,2018,Schleswig-Holstein,SH_grenze,0,privat,8.0,49.885,80.495,51.054466,0,0,0,0,0,0,8.0,0,0,0,0,0,0,0
21502,2019,Schleswig-Holstein,SH_grenze,0,privat,9.0,61.15,69.85,51.054466,0,0,0,0,0,0,9.0,0,0,0,0,0,0,0
21502,2020,Schleswig-Holstein,SH_grenze,0,privat,18.0,133.12,148.34,51.054466,0,0,0,0,0,0,18.0,0,0,0,0,0,0,0
21502,2021,Schleswig-Holstein,SH_grenze,0,privat,33.0,268.39,317.22,51.054466,0,0,1,0,0,0,33.0,0,0,0,0,0,0,0
21502,2022,Schleswig-Holstein,SH_grenze,0,privat,61.0,528.4,598.61,51.054466,0,0,1,1,0,0,61.0,0,0,0,0,0,0,0
21629,2015,Niedersachsen,NI_grenze,0,privat,5.0,25.85,32.160000000000004,56.446106,0,0,0,0,0,0,5.0,0,0,0,0,0,0,0
21629,2016,Niedersachsen,NI_grenze,0,privat,4.0,25.4,28.4,56.446106,0,0,0,0,0,0,4.0,0,0,0,0,0,0,0
21629,2017,Niedersachsen,NI_grenze,0,privat,6.0,28.97,30.18,56.446106,0,0,0,0,0,0,6.0,0,0,0,0,0,0,0
21629,2018,Niedersachsen,NI_grenze,0,privat,15.0,92.21,101.83,56.446106,0,0,0,0,0,0,15.0,0,0,0,0,0,0,0
21629,2019,Niedersachsen,NI_grenze,0,privat,11.0,82.045,91.535,56.446106,0,0,0,0,0,0,11.0,0,0,0,0,0,0,0
21629,2020,Niedersachsen,NI_grenze,0,privat,27.0,197.545,218.4,56.446106,0,0,0,0,0,0,27.0,0,0,0,0,0,0,0
21629,2021,Niedersachsen,NI_grenze,0,privat,26.0,181.188,208.355,56.446106,0,0,1,0,0,0,26.0,0,0,0,0,0,0,0
21629,2022,Niedersachsen,NI_grenze,0,privat,52.0,391.04,426.31,56.446106,0,0,1,1,0,0,52.0,0,0,0,0,0,0,0
21635,2015,Niedersachsen,NI_grenze,0,privat,3.0,41.055,41.055,62.35205,0,0,0,0,0,0,3.0,0,0,0,0,0,0,0
21635,2016,Niedersachsen,NI_grenze,0,privat,2.0,12.0,12.56,62.35205,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0
21635,2017,Niedersachsen,NI_grenze,0,privat,9.0,187.86,191.875,62.35205,0,0,0,0,0,0,9.0,0,0,0,0,0,0,0
21635,2018,Niedersachsen,NI_grenze,0,privat,11.0,101.72,179.56,62.35205,0,0,0,0,0,0,11.0,0,0,0,0,0,0,0
21635,2019,Niedersachsen,NI_grenze,0,privat,11.0,154.05,173.72,62.35205,0,0,0,0,0,0,11.0,0,0,0,0,0,0,0
21635,2020,Niedersachsen,NI_grenze,0,privat,19.0,439.71,458.37,62.35205,0,0,0,0,0,0,19.0,0,0,0,0,0,0,0
21635,2021,Niedersachsen,NI_grenze,0,privat,32.0,648.04,680.525,62.35205,0,0,1,0,0,0,32.0,0,0,0,0,0,0,0
21635,2022,Niedersachsen,NI_grenze,0,privat,45.0,494.115,556.34,62.35205,0,0,1,1,0,0,45.0,0,0,0,0,0,0,0
22043,2015,Hamburg,HH_grenze,1,privat,0.0,0.0,0.0,5.421969,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0
22043,2016,Hamburg,HH_grenze,1,privat,2.0,4.69,4.69,5.421969,0,0,0,0,0,0,2.0,0,1,0,0,0,0,0
22043,2017,Hamburg,HH_grenze,1,privat,2.0,15.0,15.965,5.421969,0,0,0,0,0,0,2.0,0,0,1,0,0,0,0
22043,2018,Hamburg,HH_grenze,1,privat,1.0,6.96,6.96,5.421969,0,0,0,0,0,0,1.0,0,0,0,1,0,0,0
22043,2019,Hamburg,HH_grenze,1,privat,1.0,9.0,9.76,5.421969,0,0,0,0,0,0,1.0,0,0,0,0,1,0,0
22043,2020,Hamburg,HH_grenze,1,privat,10.0,61.39,66.49,5.421969,0,0,0,0,0,0,10.0,0,0,0,0,0,0,0
22043,2021,Hamburg,HH_grenze,1,privat,11.0,76.905,84.765,5.421969,0,0,1,0,1,0,11.0,0,0,0,0,0,1,0
22043,2022,Hamburg,HH_grenze,1,privat,18.0,112.71,121.83,5.421969,0,0,1,1,1,1,18.0,0,0,0,0,0,0,1
22045,2015,Hamburg,HH_grenze,1,privat,1.0,8.0,8.4,5.321459,0,0,0,0,0,0,1.0,1,0,0,0,0,0,0
22045,2016,Hamburg,HH_grenze,1,privat,2.0,7.57,8.05,5.321459,0,0,0,0,0,0,2.0,0,1,0,0,0,0,0
22045,2017,Hamburg,HH_grenze,1,privat,2.0,73.22,73.22,5.321459,0,0,0,0,0,0,2.0,0,0,1,0,0,0,0
