"Statistikamt Nord; ";;;;;;;;;;;;;;;;13.03.26
"311-1; Kue.";;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
31121  Statistik der Baufertigstellungen;;;;;;;;;;;;;;;;
31121SGJ55 Baufertigstellungen im Wohn- und Nichtwohnbau, Neubauten - SH (2010-2024);;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Kreis;Gemeinde;Anzahl fertiggestellter Wohn- und Nichtwohngebäude im Neubau nach Jahren 2010-2024;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
01053 Hzgt. Lauenburg;01053112 Schönberg;9;;2;3;5;4;4;3;1;;39;18;;3;3
01053 Hzgt. Lauenburg;01053113 Schretstaken;1;;1;2;7;3;2;2;;;1;;;;2
01053 Hzgt. Lauenburg;01053114 Schürensöhlen;1;;;1;3;1;;;1;;;;;1;
01053 Hzgt. Lauenburg;01053115 Schulendorf;2;3;;3;4;;;2;1;;2;;3;;9
01053 Hzgt. Lauenburg;01053116 Schwarzenbek, Stadt;33;47;31;78;3;80;120;;25;1;;81;2;21;24
01053 Hzgt. Lauenburg;01053117 Seedorf;1;;2;4;1;1;3;2;2;2;3;1;;1;2
01053 Hzgt. Lauenburg;01053118 Siebenbäumen;3;;;6;;2;4;3;2;;;;;1;1
01053 Hzgt. Lauenburg;01053119 Siebeneichen;2;;;;;1;1;1;;;2;;2;;1
01053 Hzgt. Lauenburg;01053120 Sierksrade;2;;;;;1;2;1;;;3;;;;
01053 Hzgt. Lauenburg;01053121 Sirksfelde;1;;1;1;;2;1;1;;;1;1;1;;
01053 Hzgt. Lauenburg;01053122 Steinhorst;;;;;;6;3;;1;;3;1;;11;
01053 Hzgt. Lauenburg;01053123 Sterley;2;;1;2;1;;;2;6;;10;2;3;;1
01053 Hzgt. Lauenburg;01053124 Stubben;;;;;;2;1;;2;;;;1;;
01053 Hzgt. Lauenburg;01053125 Talkau;;;;;;3;;1;2;;;;;;10
01053 Hzgt. Lauenburg;01053126 Tramm;1;1;3;2;1;2;;;;;1;;2;;2
